record_id,reporting_date,programme_name,sector,state,lga,community,monthly_target,monthly_achievement,achievement_rate,activity_completion_rate,budget_utilisation_rate,reporting_delay_days,complaints_count,staff_availability_rate,supply_delay_days,previous_month_achievement_rate,access_constraint_score,data_quality_score,anomaly_flag,risk_label,recommended_action
ES-000769,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,796,619,0.777,0.7571,0.8362,5,3,0.9777,7,0.841,0.3728,0.932,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000770,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,895,731,0.8172,0.8396,0.8739,4,3,0.9657,8,0.777,0.3989,0.8817,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000771,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,825,716,0.8681,0.8209,0.8934,5,3,0.9309,3,0.8172,0.4009,0.954,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000772,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,936,859,0.9172,0.7661,0.8775,8,4,0.876,4,0.8681,0.3812,0.8832,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000773,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,799,583,0.7291,0.7666,0.933,9,2,0.8506,2,0.9172,0.4274,0.8796,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000774,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,811,626,0.772,0.8415,0.806,4,4,0.8581,7,0.7291,0.3053,0.9216,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000775,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,987,630,0.6388,0.6636,0.785,5,4,0.8582,6,0.772,0.3609,0.8456,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000776,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,818,566,0.6914,0.7046,0.853,5,0,0.8002,5,0.6388,0.409,0.9099,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000777,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,902,510,0.5652,0.7252,0.9083,6,7,0.8311,9,0.6914,0.3985,0.968,0,High,Recommended for human review: examine target underachievement and verify contributing factors.
ES-000778,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,832,528,0.6345,0.6818,0.8585,4,6,0.8515,6,0.5652,0.2698,0.8324,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000779,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,763,498,0.6532,0.7552,0.691,7,3,0.8675,2,0.6345,0.3066,0.9116,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000780,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,792,493,0.623,0.7108,0.7266,13,25,0.8818,5,0.6532,0.2842,0.9407,1,High,Recommended for human review: examine target underachievement and verify contributing factors.
ES-000781,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,685,533,0.7785,0.8195,0.913,8,4,0.8523,8,0.623,0.2303,0.9618,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000782,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,738,556,0.7539,0.7683,0.8306,7,4,0.8372,7,0.7785,0.3167,0.9395,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000783,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,853,663,0.777,0.6788,0.8582,10,0,0.9017,3,0.7539,0.3634,0.924,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000784,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,956,702,0.734,0.6802,0.7359,9,3,0.9157,8,0.777,0.3926,0.8706,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000785,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,992,858,0.8651,0.7673,0.8103,5,7,0.8795,2,0.734,0.3436,0.9391,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000786,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,909,736,0.8093,0.7336,0.8428,6,2,0.8612,6,0.8651,0.2927,0.8843,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000787,2025-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,870,720,0.8277,0.6847,1.0358,4,1,0.8311,3,0.8093,0.261,0.9123,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000788,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,869,618,0.7111,0.7989,0.7301,6,4,0.855,5,0.8277,0.1622,0.8303,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000789,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,864,650,0.7524,0.8283,0.7451,4,3,0.8617,5,0.7111,0.123,0.9709,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000790,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,844,650,0.7705,0.7406,0.8073,4,0,0.8364,3,0.7524,0.1402,0.9327,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000791,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,839,598,0.7133,0.7116,0.878,1,2,0.8568,4,0.7705,0.1718,1.0,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000792,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,754,621,0.8234,0.7365,0.8427,3,2,0.8242,4,0.7133,0.1734,0.897,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000793,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,867,778,0.897,0.7544,1.0318,3,2,0.8867,5,0.8234,0.2766,0.9363,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000794,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,848,601,0.7083,0.7083,0.8087,7,4,0.9233,7,0.897,0.2783,0.878,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000795,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,987,789,0.799,0.7344,0.6818,7,4,0.9409,8,0.7083,0.2425,0.9111,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000796,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,916,650,0.7098,0.8279,0.7106,2,33,0.8566,2,0.799,0.3373,0.8804,1,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000797,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,902,664,0.736,0.8326,0.906,4,2,0.8275,9,0.7098,0.3002,0.8446,0,Low,Continue routine monitoring; no immediate escalation indicated.
