record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,reporting_delay_days,complaints_count,supply_delay_days,anomaly_flag,predicted_anomaly,anomaly_score,anomaly_prediction_correct
ES-002426,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 4,0.645,4,4,45,1,1,0.046976236973742536,True
ES-001082,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 4,0.5929,8,3,6,0,0,-0.16884412182023834,True
ES-000794,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,0.7083,7,4,7,0,0,-0.2062491313342375,True
ES-005114,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 4,0.7184,5,0,13,0,0,-0.07630355236654474,True
ES-005978,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 1,0.6679,3,1,5,0,0,-0.19100162527184478,True
ES-001210,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 2,0.7919,7,5,4,0,0,-0.18287919744986664,True
ES-001114,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 5,0.6941,7,5,5,0,0,-0.1953197426024657,True
ES-004954,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 5,0.7222,6,0,4,0,0,-0.15928085142051202,True
ES-002778,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 3,0.6723,9,5,1,0,0,-0.1191192243785591,True
ES-001498,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 5,0.7436,1,7,7,0,0,-0.10050845290336263,True
ES-002970,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 3,0.6978,11,4,9,0,0,-0.11245714188615036,True
ES-003610,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 5,0.568,4,5,7,0,0,-0.15230583129656855,True
ES-002458,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 5,0.7126,6,5,5,0,0,-0.2054260053056683,True
ES-001434,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 3,0.8286,4,3,5,0,0,-0.20840366800257937,True
ES-007674,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 6,0.5307,2,6,7,0,0,-0.06639379404956769,True
ES-007194,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 3,0.6348,2,2,3,0,0,-0.16840484226434815,True
ES-003674,2026-02-01,Education Access Project,Education,Borno,Mafa,Mafa Site 1,0.7418,0,2,6,0,0,-0.14020734006573143,True
ES-005946,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 6,0.8011,5,2,1,0,0,-0.1692746517744646,True
ES-005242,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 2,0.8092,2,1,2,0,0,-0.1516849062339321,True
ES-002490,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,0.562,8,2,9,0,0,-0.1126067925586256,True
ES-003642,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 6,0.779,4,3,2,0,0,-0.20163856173930828,True
ES-007642,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 5,0.6277,4,3,4,0,0,-0.20363107214656612,True
ES-005018,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 1,0.7276,3,5,2,0,0,-0.17794627333728785,True
ES-002714,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 1,0.8146,3,1,5,0,0,-0.1913882830499174,True
ES-005914,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 5,0.8998,5,3,3,0,0,-0.15324223774767692,True
ES-002746,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 2,0.602,8,4,4,0,0,-0.17389819756703812,True
ES-005306,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 4,0.7587,5,3,2,0,0,-0.2042036209224694,True
ES-001402,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 2,0.7172,2,2,1,0,0,-0.15856507877277065,True
