alert_rank,record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,predicted_risk,probability_high,forecast_available,predicted_next_achievement_rate,forecast_status,predicted_anomaly,anomaly_score,risk_component_score,forecast_component_score,anomaly_component_score,early_warning_score,early_warning_priority,warning_signal_count,signal_agreement,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,priority_message,integrated_investigation_guidance,review_status,forecast_context,decision_use
1,ES-002880,2026-08-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 6,0.5137,High,0.9999999999999984,False,,,1,0.0664874335944782,100.0,,100.0,100.0,High,2,Strong Agreement,Supply delay,Low achievement,Low activity completion,Timely reporting,Risk: High | Forecast: Not available | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.",Priority human review,Forecast unavailable for final reporting month,Recommended for human review; the model does not make operational decisions.
2,ES-005440,2026-08-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 2,0.7552,High,0.9893176576807184,False,,,1,0.0130922936086625,100.0,,100.0,100.0,High,2,Strong Agreement,Reporting delay,Low activity completion,Lower data quality,Lower complaints,Risk: High | Forecast: Not available | Anomaly: Alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality. | Validate the unusual operational pattern against source data and field context.",Priority human review,Forecast unavailable for final reporting month,Recommended for human review; the model does not make operational decisions.
3,ES-006044,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 3,0.6906,High,1.0,True,0.7018405431659329,Watch,1,0.1040805301162904,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Reporting delay,Low achievement,Lower access constraints,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
4,ES-002426,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 4,0.645,High,0.9999999999999958,True,0.6729696505152648,Watch,1,0.0469762369737425,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Low achievement,Low activity completion,Timely reporting,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
5,ES-007231,2026-07-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 4,0.7309,High,0.9999999999999728,True,0.7028152507016148,Watch,1,0.0504358074010951,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Access constraints,Reporting delay,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate reporting timeliness and follow up on delayed field submissions. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
6,ES-006716,2026-04-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 6,0.2673,High,0.9999999999999268,True,0.6900815179217242,Watch,1,0.0052174850402573,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Low achievement,Reporting delay,Low activity completion,Lower complaints,Risk: High | Forecast: Watch | Anomaly: Alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
7,ES-002363,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 2,0.7053,High,0.9999999999996768,True,0.7144188624079458,Watch,1,0.0762484882349266,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Reporting delay,Low activity completion,Lower complaints,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
8,ES-002460,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 5,0.6851,High,0.9999999999989388,True,0.6964563278289927,Watch,1,0.0977721611621409,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Elevated complaints,Reporting delay,Supply delay,Strong data quality,Risk: High | Forecast: Watch | Anomaly: Alert,"Review feedback and complaint records for recurring operational issues. | Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
9,ES-002331,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 1,0.6946,High,0.9999999999976336,True,0.7007200366035332,Watch,1,0.0570994934386683,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Reporting delay,Low achievement,Lower access constraints,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
10,ES-002299,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 6,0.7323,High,0.9999999991284978,True,0.7275367973290574,Watch,1,0.0557059297200901,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Low activity completion,Access constraints,Timely reporting,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
