record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,next_achievement_rate,predicted_next_achievement_rate,forecast_status,absolute_forecast_error
ES-004730,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 4,0.7848,0.786,0.7808924526314236,On Track,0.005107547368576437
ES-005914,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 5,0.8998,0.858,0.8599802305186521,On Track,0.0019802305186521485
ES-002266,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 5,0.6127,0.8334,0.6133639982256051,Critical,0.22003600177439497
ES-000922,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 5,0.7663,0.8105,0.7706422861007796,On Track,0.03985771389922044
ES-003962,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 4,0.6507,0.6952,0.6563060852648974,Watch,0.03889391473510262
ES-003290,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 1,0.7766,0.6853,0.7488170080333588,Watch,0.0635170080333588
ES-003258,2026-02-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 6,0.8039,0.8753,0.7874949669362992,On Track,0.0878050330637008
ES-002234,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 4,0.6573,0.7071,0.6861010793964522,Watch,0.0209989206035478
ES-002362,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 2,0.7509,0.7053,0.7274730574842377,Watch,0.0221730574842377
ES-000186,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 6,0.692,0.7076,0.6877483664084245,Watch,0.01985163359157549
ES-001914,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 6,0.7744,0.7815,0.7608803657000229,On Track,0.02061963429997704
ES-006586,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 2,0.6873,0.6839,0.6846396657395588,Watch,0.0007396657395588591
ES-006650,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 4,0.7917,0.7586,0.7573666383126697,On Track,0.0012333616873303477
ES-001498,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 5,0.7436,0.7141,0.7073422553184155,Watch,0.00675774468158441
