record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,risk_label,predicted_risk,probability_high,probability_low,probability_medium,risk_prediction_correct
ES-004826,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 1,0.6975,Medium,Medium,0.0011763027527491472,0.00012073808556063905,0.9987029591616902,True
ES-002138,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 1,0.5252,High,High,0.9815631974089947,1.2925896729381554e-13,0.018436802590876128,True
ES-005434,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 2,0.8341,Low,Low,1.1003237153624023e-21,0.9999999993565951,6.434048980690562e-10,True
ES-000666,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 3,0.8349,Low,Low,3.673446061639032e-17,0.9999995966538034,4.033461964039619e-07,True
ES-000058,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,0.8009,Low,Low,2.345189640724557e-15,0.9999930984097815,6.9015902160503334e-06,True
ES-001754,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 1,0.6516,High,High,0.6419486350228469,1.446191537813946e-10,0.35805136483253386,True
ES-006842,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 4,0.7496,Low,Low,8.80242294392925e-09,0.9409885508933492,0.059011440304227766,True
ES-004922,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 4,0.6809,Medium,Medium,0.008965322274937272,8.994826748725138e-07,0.9910337782423878,True
ES-003418,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 5,0.7171,Medium,Medium,0.0006631632305411549,7.448592230749852e-05,0.9992623508471513,True
ES-003482,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 1,0.9343,Low,Low,6.010337674833989e-28,0.9999999999998344,1.6557880132409091e-13,True
ES-000218,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 1,0.7633,Low,Low,7.666570224859199e-10,0.9940174589008413,0.0059825403325017516,True
ES-005562,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 6,0.8767,Low,Low,6.164726499848499e-25,0.9999999999873628,1.263716205845469e-11,True
ES-003002,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 4,0.6685,Medium,Medium,0.14655246251889126,1.7194694158110238e-08,0.8534475202864147,True
ES-006202,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 2,0.5587,Medium,Medium,0.17986582780677213,1.9210597098237117e-08,0.8201341529826307,True
ES-001530,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 6,0.6639,Medium,Medium,0.06748385394165168,1.439695924545376e-08,0.932516131661389,True
ES-005338,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 5,0.7411,Low,Low,8.124360466301165e-13,0.9998457055547674,0.00015429444442028377,True
ES-006970,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 2,0.5988,Medium,Medium,0.0017642115713936775,7.152622643548635e-05,0.9981642622021708,True
ES-007450,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 5,0.8251,Low,Low,7.932086698335822e-11,0.9985727221061748,0.0014272778145044158,True
ES-006682,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 5,0.552,High,High,0.9999012051653455,3.1989473189998687e-19,9.879483465433614e-05,True
ES-000026,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 1,0.9307,Low,Low,8.070978963556525e-36,1.0,2.528760784672397e-18,True
ES-007130,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 1,0.8132,Low,Low,2.8871687452879226e-23,0.9999999999770077,2.2992323168769657e-11,True
ES-000602,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 1,0.8353,Low,Low,6.305019725141395e-23,0.9999999998943108,1.0568915798434986e-10,True
ES-003034,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 5,0.7154,Low,Low,8.278413624240224e-12,0.9991807203731045,0.0008192796186170553,True
ES-000890,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,0.6999,Medium,Medium,4.510070787551989e-05,0.03175811804404439,0.9681967812480801,True
ES-005786,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 1,0.7634,Low,Low,1.4635558967062004e-15,0.9999954745759786,4.52542401970585e-06,True
ES-000826,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,0.7076,Low,Low,2.6785710895419306e-10,0.9968382385133053,0.003161761218837736,True
